organization,service_type,address,city,state,country,postcode,latitude,longitude,public_telephone
Absolute Physiotherapy Mackay - Shakespeare Street,Physiotherapy service,17 Shakespeare Street,EAST MACKAY,QLD,AUS,4740,-21.15098,149.201013,
Innovative Physio,Physiotherapy service,231 Nepean Highway,EDITHVALE,VIC,AUS,3196,-38.036231994628906,145.106689453125,
The Healthy Body Company - Mount Annan,Physiotherapy service,"SHOP 2,1 RAINTREE WAY",MOUNT ANNAN,NSW,AUS,2567,-34.04989547,150.75554988,
Amcal Plus Richmond,Pharmacy service,394 Burnley Street,RICHMOND,VIC,AUS,3121,-37.825958,145.006851,
Narrandera Health Service Palliative Care Service,Palliative medicine service,"Narrandera Hospital,54 64 Adams Street",NARRANDERA,NSW,AUS,2700,-34.7431526184082,146.54737854003906,
Nicola Fox Dietitians/Nutritionists Paddington,Nutrition service,25 Rockbourne Terrace,PADDINGTON,QLD,AUS,4064,-27.45522689819336,152.9952392578125,
Priceline Pharmacy - Morisset,Pharmacy service,"Shop 9-11,35 Yambo Street",MORISSET,NSW,AUS,2264,-33.10702896118164,151.48800659179688,
Yamba Doctors,General practice service,"UNIT 1,8 TREELANDS DRIVE",YAMBA,NSW,AUS,2464,-29.42837706,153.32775341,
Moodies Pharmacy,Pharmacy service,165 Howick Street,BATHURST,NSW,AUS,2795,-33.41664505004883,149.58155822753906,
myCheck Health Clinic,General practice service,"Shop 3,29-37 George Street",WOY WOY,NSW,AUS,2256,-33.48875956,151.32459512,
Adaptive Allied Health,Exercise physiology service,27 SHIELDS CRESCENT,BOORAGOON,WA,AUS,6154,-32.03822,115.82436,
Adelaide Psychological Services,Psychology service,39 Augusta Street,GLENELG EAST,SA,AUS,5045,-34.977882385253906,138.52101135253906,
Chemistoutlet Silverwater,Pharmacy service,3 Coal Street,SILVERWATER,NSW,AUS,2128,-33.830406188964844,151.0462646484375,
Speech Pathology Tasmania - Devonport,Speech and language therapy service,113 William Street,DEVONPORT,TAS,AUS,7310,-41.17922592163086,146.34996032714844,
Brilliant Minds Psychology,Psychology service,"Springwood Towers,Suite 1.01,9 Murrajong Road",SPRINGWOOD,QLD,AUS,4127,-27.61822,153.12736,
Rehability Exercise Solutions,Exercise physiology service,200 Cordeaux Road,MOUNT KEMBLA,NSW,AUS,2526,-34.431068420410156,150.82888793945312,
Callisters Pharmacy Kooyong,Pharmacy service,471 Glenferrie Road,KOOYONG,VIC,AUS,3144,-37.84028625488281,145.0318603515625,
Aberfoyle Park Medical Centre,General practice service,Corner Summerford & Manning Road,ABERFOYLE PARK,SA,AUS,5159,-35.062347412109375,138.59542846679688,
Booth Street Pharmacy,Pharmacy service,39-41 Booth Street,ANNANDALE,NSW,AUS,2038,-33.882118225097656,151.17343139648438,
Coonabarabran Community Health Centre Speech Pathology Service At Coonamble,Speech and language therapy service,"Hospital Staff Quarters,150 Castlereagh Street",COONAMBLE,NSW,AUS,2829,-30.9650936126709,148.38766479492188,
Mercy Health Service Albury Palliative Care,Palliative medicine service,"Level E,550 Poole Street",ALBURY,NSW,AUS,2640,-36.06928253173828,146.9166259765625,
Priceline Pharmacy Rutherford,Pharmacy service,"East Mall,10 EAST MALL",RUTHERFORD,NSW,AUS,2320,-32.71611322,151.52758883,
M3 Health - Ascot Vale,Psychology service,63 Union Road,ASCOT VALE,VIC,AUS,3032,-37.7776985168457,144.9149932861328,Yes
Word Of Mouth - Effective Personal Communication,Speech and language therapy service,"Level 4 Suite 407,160 Castlereagh Street",SYDNEY,NSW,AUS,2000,-33.87236785888672,151.2098388671875,
Amtan Medical Centre oxenford,General practice service,"Shop 13,shop 9,2 Cottonwood Pl",OXENFORD,QLD,AUS,4210,-27.891285,153.312788,
Fulham Medical Clinic,General practice service,576 Tapleys Hill Road,FULHAM,SA,AUS,5024,-34.926788330078125,138.51736450195312,
PDC Health Hub - Kalamunda,Exercise physiology service,37 Elizabeth Street,KALAMUNDA,WA,AUS,6076,-31.96783447265625,116.06090545654297,
Panania Physiotherapy Centre,Physiotherapy service,243 Tower Street,PANANIA,NSW,AUS,2213,-33.95619583129883,150.99624633789062,
Como Medical Clinic,General practice service,"Unit 4,34 Talbot Avenue",COMO,WA,AUS,6152,-32.00239944458008,115.86689758300781,
Lynn Brooke - Speech Pathology Services,Speech and language therapy service,16 Winston Place,DEVONPORT,TAS,AUS,7310,-41.16953659057617,146.3488311767578,
Star Discount Chemist Prospect,Pharmacy service,113 Prospect Road,PROSPECT,SA,AUS,5082,-34.88530853826729,138.59436956648935,
Victorian Aboriginal Health Service - Preston,Physiotherapy service,238-250 Plenty Road,PRESTON,VIC,AUS,3072,-37.74527359008789,145.00672912597656,
Warrawong General Practice,General practice service,"Shop 1,45 King Street",WARRAWONG,NSW,AUS,2502,-34.483876902303535,150.88775647996735,
jupiter Mental Health and Wellbeing Service  - Raymond Terrace,Mental health service,47-59 PORT STEPHENS STREET,RAYMOND TERRACE,NSW,AUS,2324,-32.76153624,151.74241213,
Carrie Partington Psychology,Psychology service,475 Goodwood Road,COLONEL LIGHT GARDENS,SA,AUS,5041,-34.978676,138.590902,
Cresthaven Pharmacy,Pharmacy service,26 Aminya Street,MANSFIELD,QLD,AUS,4122,-27.539180755615234,153.0994415283203,
Orange Health Service Sub Acute Clinic - Major Outreach,Physical and rehabilitation medicine service,"Orange Health Service,1502 Forest Road",ORANGE,NSW,AUS,2800,-33.32006072998047,149.0933837890625,
Mallacoota District Health and Support Service Inc,Occupational therapy service,Corner Genoa Road and Mattsson Street,MALLACOOTA,VIC,AUS,3892,-37.55923843383789,149.75062561035156,
Collinswood Star Discount Chemist,Pharmacy service,31-37 North East Road,COLLINSWOOD,SA,AUS,5081,-34.890655517578125,138.61122131347656,
Labuan Square Pharmacy,Pharmacy service,21 Labuan Square,NORLANE,VIC,AUS,3214,-38.096527099609375,144.3603973388672,
Diet Solutions - Surrey Hills,Dietetics service,"Suite G3,171 UNION ROAD",SURREY HILLS,VIC,AUS,3127,-37.8228712,145.09804884,
Chemist Warehouse Caloundra,Pharmacy service,"Unit 3,2 Sydal Street",LITTLE MOUNTAIN,QLD,AUS,4551,-26.79477541,153.10371403,
Prasads Medical Centre - Albany Creek,General practice service,721 Albany Creek Road,ALBANY CREEK,QLD,AUS,4035,-27.345050811767578,152.96754455566406,
headspace Capalaba,Mental health service,"The Eureka Centre 29 Moreton Bay Road Capalab,UNIT 1,29 Moreton Bay Rd",CAPALABA,QLD,AUS,4157,-27.523751,153.199348,
Castlemaine Clinical Psychology,Psychology service,10 Templeton Street,CASTLEMAINE,VIC,AUS,3450,-37.063480377197266,144.21571350097656,
Engadine Central Pharmacy,Pharmacy service,1035 Old Princes Highway,ENGADINE,NSW,AUS,2233,-34.06477355957031,151.01353454589844,
Palmerston Superclinic Pharmacy,Pharmacy service,"Medical Precinct,Shop 1,3 Gurd Street",FARRAR,NT,AUS,0830,-12.47943721,130.9900011,
Kennedy Drive Medical Centre,Dietetics service,"Shop 2,97 Kennedy Drive",TWEED HEADS,NSW,AUS,2485,-28.186574935913086,153.5281524658203,
Well 2,Dietetics service,2 The Parade,NORWOOD,SA,AUS,5067,-34.92203140258789,138.62342834472656,
Healthful Nutrition - Noble Park,Dietetics service,51 Chandler Road,NOBLE PARK,VIC,AUS,3174,-37.968753814697266,145.18740844726562,
Health First Gold Coast,Physiotherapy service,22 NERANG STREET,NERANG,QLD,AUS,4211,-27.988823,153.33894582,
Fit and Well Physiotherapy,Physiotherapy service,359 DRYBURGH STREET,NORTH MELBOURNE,VIC,AUS,3051,-37.79733673,144.94420408,
Dr Deborah Lane – Clinical Psychologist,Clinical psychology service,"Level 2,326 KEILOR ROAD",NIDDRIE,VIC,AUS,3042,-37.73693164,144.89230522,
Lachlan Crowther Exercise Physiology,Exercise physiology service,"GO3,44 Carrington St",LISMORE,NSW,AUS,2480,-28.810474,153.276516,
Bentleigh East GP Clinic,General practice service,23 CLARENCE STREET,BENTLEIGH EAST,VIC,AUS,3165,-37.92781508,145.0590894,
Woods Point Community Health Centre,General practice service,13 Coster Street,WOODS POINT,VIC,AUS,3723,-37.569580078125,146.25714111328125,
Drysdale Village Medical Centre,General practice service,16 Palmerston Street,DRYSDALE,VIC,AUS,3222,-38.1740837097168,144.56690979003906,
Freda Dunn's Acupuncture and Natural Therapies Clinic - Sunshine Coast,Nutrition service,40 Beddington Road,DOONAN,QLD,AUS,4562,-26.450176239013672,153.00999450683594,
Maple Tree Counselling,Adult mental health service,"Room 7, The Hub,233 BARKER STREET",CASTLEMAINE,VIC,AUS,3450,-37.06354664,144.21663907,
North Lakes Community Health,Physical and rehabilitation medicine service,9 Endeavour Boulevard,NORTH LAKES,QLD,AUS,4509,-27.23948860168457,153.02122497558594,
Align Physiotherapy & Pilates,Physiotherapy service,34 Clovelly Road,RANDWICK,NSW,AUS,2031,-33.904022216796875,151.24302673339844,
Value Plus Discount Pharmacy,Pharmacy service,167 Old South Road,OLD REYNELLA,SA,AUS,5161,-35.092323303222656,138.5401611328125,Yes
Ballarat Sports And Exercise Rehabilitation Centre,Exercise physiology service,131 ALBERT STREET,SEBASTOPOL,VIC,AUS,3356,-37.59315314,143.84149689,
Dr Deborah Thomas,Psychology service,"The Birchtree Centre of Excellence,58 Parramatta Road",FOREST LODGE,NSW,AUS,2037,-33.88522720336914,151.18264770507812,
Medical Centre Frankston,General practice service,54-56 Cranbourne Road,FRANKSTON,VIC,AUS,3199,-38.14612579345703,145.13314819335938,
Innisfail Hospital - Speech Pathology Services,Speech and language therapy service,87 Rankin Street,INNISFAIL,QLD,AUS,4860,-17.518993377685547,146.030029296875,
 Plantiful Nutrition,Dietetics service,"On Point,Lot 6, Level 1,687-689 OLD CLEVELAND ROAD EAST",WELLINGTON POINT,QLD,AUS,4160,-27.50957601,153.23753222,
Sports Optimum,Nutrition service,9/316-320 Toorak Road,SOUTH YARRA,VIC,AUS,3141,-37.84012985229492,144.99822998046875,
Lifestyle Clinic,Exercise physiology service,"(Corner Botany & High Streets),38 Botany Street",RANDWICK,NSW,AUS,2031,-33.91633224487305,151.23622131347656,
HR Counselling,Adult mental health service,"The Central Chambers,Office 15C,157 CROWN STREET",NORTH WOLLONGONG,NSW,AUS,2500,-34.42551863,150.89534229,
Southern Cross Care - The Lodge Lourdes Valley Residential Care,Occupational therapy service,"Lourdes Valley,18 CROSS ROAD",MYRTLE BANK,SA,AUS,5064,-34.96273381,138.63952556,
Flow Physio Co,Physiotherapy service,"Shop 1,728 Old Princes Highway",SUTHERLAND,NSW,AUS,2232,-34.0306396484375,151.0587615966797,
TerryWhite Chemmart - Victor Harbor Central,Pharmacy service,"Victor Central Shopping Centre,27 Torrens Street",VICTOR HARBOR,SA,AUS,5211,-35.55319595336914,138.6205596923828,
Mitcham General Practice,General practice service,77 Belair Road,KINGSWOOD,SA,AUS,5062,-34.972836,138.609391,
Katanning Pharmacy,Pharmacy service,92 Clive Street,KATANNING,WA,AUS,6317,-33.68989181518555,117.5572509765625,
HOWARD PHARMACY,Pharmacy service,"Shop 2,75 William Street",HOWARD,QLD,AUS,4659,-25.31789207458496,152.56153869628906,
Lighten Up Weight Management Services - Curlewis,Dietetics service,"Curlewis Medical Centre,Shop 8,90 Centennial Boulevard",CURLEWIS,VIC,AUS,3222,-38.16887283325195,144.54457092285156,
Mind Maze,Psychology service, 18 MacArthur Avenue,MOUNT OUSLEY,NSW,AUS,2519,-34.400218,150.88622,
MSWA,Occupational therapy service,29 Parkhill Way,WILSON,WA,AUS,6107,-32.0145149230957,115.89978790283203,
Castlecrag Medical Practice,General practice service,95 Edinburgh Road,CASTLECRAG,NSW,AUS,2068,-33.80213928222656,151.21270751953125,
Performance ExPhys,Exercise physiology service,31-33 BRIGGS ROAD,RACEVIEW,QLD,AUS,4305,-27.634025529448618,152.7616230833795,
Hydrotherapy Brisbane,Physiotherapy service,"Aspley Village Shopping Centre,Level 1 Suite 7,605 Robinson Road",ASPLEY,QLD,AUS,4034,-27.364212036132812,153.02413940429688,
The Lighthouse Clinic,Psychology service,17 Railway Parade,KIAMA,NSW,AUS,2533,-34.67184066772461,150.85458374023438,
Wauchope Pharmacy,Pharmacy service,26 High Street,WAUCHOPE,NSW,AUS,2446,-31.457740783691406,152.73345947265625,
Northwest Health - Calala,Dietetics service,"Calala Green Shopping Village,Shop 4-6,10 Campbell Road",CALALA,NSW,AUS,2340,-31.126108169555664,150.94131469726562,
"Patricia Robertson, Psychologist, Fremantle Psychology Services",Clinical psychology service,"Level 1,17 Henry Street",FREMANTLE,WA,AUS,6160,-32.05552673339844,115.7440185546875,
Napier Medical Centre,General practice service,321 Napier Street,STRATHMORE,VIC,AUS,3041,-37.735472,144.918802,
Antenatal & Postnatal Psychology Network - Newport,Psychology service,"Newport Health and Wellbeing,35 Challis Street",NEWPORT,VIC,AUS,3015,-37.845916748046875,144.87252807617188,
Marinucci Medical Centre,General practice service,68 Ramsay Street,HABERFIELD,NSW,AUS,2045,-33.8815803527832,151.1393585205078,
Cincotta Discount Chemist Rouse Hill,Pharmacy service,"Shop GR085, Rouse Hill Town Centre,White Hart Drive",ROUSE HILL,NSW,AUS,2155,-33.69130325317383,150.92581176757812,
North West Musculoskeletal & Sports Physiotherapy Centre,Physiotherapy service,64 Carthage Street,TAMWORTH,NSW,AUS,2340,-31.08385467529297,150.9302520751953,
Health Smart Pharmacy - Victoria Parade,Pharmacy service,"St Vincents Hosp,55 Victoria Parade",FITZROY,VIC,AUS,3065,-37.807403564453125,144.97508239746094,
Chemist Warehouse Maroochydore Aerodrome Rd,Pharmacy service,64-70 Aerodrome Road,MAROOCHYDORE,QLD,AUS,4558,-26.66013034,153.09855633,
Northern Gold Coast Psychology,Clinical psychology service,8 Village High Crescent,COOMERA,QLD,AUS,4209,-27.844030380249023,153.36717224121094,
National Pharmacies - Littlehampton,Pharmacy service,"Shop 1,87 Old Princes Highway",LITTLEHAMPTON,SA,AUS,5250,-35.0478515625,138.86692810058594,
Epic Pharmacy Brisbane Private,Pharmacy service,"Brisbane Private Hospital,D L,259 Wickham Terrace",SPRING HILL,QLD,AUS,4000,-27.46463668,153.02257911,
Darley Street Allied Health (RE-Located TO 11A Hawken St),Mental health service,11 Hawken Street,NEWTOWN,NSW,AUS,2042,-33.90514373779297,151.1751708984375,
Broadbeach Family Practice,General practice service,"UNIT 1,29 QUEENSLAND AVENUE",BROADBEACH,QLD,AUS,4218,-28.02735581,153.43038796,
Ramsey Pharmacy-Crystal Brook,Pharmacy service,32 Bowman Street,CRYSTAL BROOK,SA,AUS,5523,-33.35279083251953,138.2071533203125,
Pharmacy 4 Less Maroubra,Pharmacy service,203 Maroubra Road,MAROUBRA,NSW,AUS,2035,-33.94182586669922,151.23880004882812,
Perth Surgical And Bariatrics,Nutrition service,30 Churchill Avenue,SUBIACO,WA,AUS,6008,-31.94775,115.835205,
UR Family Practice,General practice service,"Shop 55,18/26 Church Avenue",MASCOT,NSW,AUS,2020,-33.9222526550293,151.18907165527344,
Dr Seham Mostafa,General practice service,708 SYDNEY ROAD,BRUNSWICK,VIC,AUS,3056,-37.76073073,144.96356535,
Molong Pharmacy,Pharmacy service,43 Bank Street,MOLONG,NSW,AUS,2866,-33.091575622558594,148.86985778808594,
Elite Exercise Sydney,Speech and language therapy service,2A Allan Avenue,BELMORE,NSW,AUS,2192,-33.911869049072266,151.0843048095703,
Gatton Medical Centre,Dietetics service,15 William Street,GATTON,QLD,AUS,4343,-27.557294845581055,152.27886962890625,
Rise Physio,Physiotherapy service,74 BRADLEY STREET,GLENMORE PARK,NSW,AUS,2745,-33.80534318,150.68709203,
Cherbourg Hospital,Mental health service,Fisher Street,CHERBOURG,QLD,AUS,4605,-26.29047203063965,151.95648193359375,
Jennifer Hampson - Clinical Psychology,Psychology service,Address Confidential,GOULBURN,NSW,AUS,2580,-34.74791717529297,149.7277374267578,
Hills Speech Pathology,Speech and language therapy service,"Charrington Court,Suite 9,35 Old Northern Road",BAULKHAM HILLS,NSW,AUS,2153,-33.75768280029297,150.9932861328125,
Good Price Pharmacy Warehouse Mackay,Pharmacy service,3 Peel Street,MACKAY,QLD,AUS,4740,-21.139495849609375,149.180419921875,
Tara Hospital - Mental Health Services,Mental health service,"Hospital,15 Bilton Street",TARA,QLD,AUS,4421,-27.273149490356445,150.45663452148438,
Cadence Psychology,Clinical psychology service,"Suite 107,283 Alfred Street N",NORTH SYDNEY,NSW,AUS,2060,-33.83965,151.2116,
Community and Allied Health,Chronic disease management service,"Roma Hospital,197-234 McDowall Street",ROMA,QLD,AUS,4455,-26.56981,148.77382,
MyLife Medical Brookwater General Practice ,General practice service,"Level 1 ,2 Tournament Drive",BROOKWATER,QLD,AUS,4300,-27.663597,152.8917252,
Muscle Joint Bone,Physiotherapy service,"Laurimar Town Centre Delfin Laurimar,Level 1 Suite 106,95 Hazel Glen Drive",DOREEN,VIC,AUS,3754,-37.58699417114258,145.1276092529297,
Allcare Medical Centre Hammondville,General practice service,192 Heathcote Road,HAMMONDVILLE,NSW,AUS,2170,-33.94951629638672,150.95083618164062,
Gateway Medical Centre,General practice service,"Level 2 Shop 4,1 Mona Vale Road",MONA VALE,NSW,AUS,2103,-33.678749084472656,151.3023223876953,
Regional Physiotherapy & In Balance Fitness,Physiotherapy service,306 FITZGERALD STREET EAST,NORTHAM,WA,AUS,6401,-31.6561451,116.66787193,
Dr Gus Norris Clinical Psychology - Miranda,Psychology service,"Level 2 Suite 26,19-21 Central Road",MIRANDA,NSW,AUS,2228,-34.033233642578125,151.1001434326172,
Talkativity Speech Pathology Services,Speech and language therapy service,"Pakenham Medical Clinic,56 MAIN STREET",PAKENHAM,VIC,AUS,3810,-38.07552897,145.48044729,
Ex Phys Australia - Karingal,Exercise physiology service,"Good Life Health Club,197 Karingal Drive",KARINGAL,VIC,AUS,3199,-38.15074157714844,145.16636657714844,
Mudgee Community Health Centre Speech Pathology Service At Gulgong,Speech and language therapy service,"Multi Purpose Service,34 Goolma Road",GULGONG,NSW,AUS,2852,-32.3664436340332,149.52293395996094,
Ripple Psychology,Psychology service,"Arcadia Walk (upstairs),10 Arcadia Street",NOOSA HEADS,QLD,AUS,4567,-26.397584915161133,153.09039306640625,
Sydney North Neurosurgery,Neurosurgical service,66 Pacific Highway,ST LEONARDS,NSW,AUS,2065,-33.82443618774414,151.19207763671875,
Alderley Physiotherapy Clinic,Physiotherapy service,41 Elfreda Street,ALDERLEY,QLD,AUS,4051,-27.42849785257727,152.99467749261788,
Primal Physiotherapy -  Camberwell,Physiotherapy service,782 Burke Street,CAMBERWELL,VIC,AUS,3124,-37.82391100780946,145.0578127336607,
Robinvale Clinic,General practice service,29 HERBERT STREET,ROBINVALE,VIC,AUS,3549,-34.58512166,142.77218804,
Beechwood Consulting Psychology,Psychology service,56 Griffith Street,COOLANGATTA,QLD,AUS,4225,-28.168785095214844,153.537841796875,
Pharmacy 777 South Lake,Pharmacy service,"Shop 3,49 Berrigan Drive",SOUTH LAKE,WA,AUS,6164,-32.11103820800781,115.83910369873047,
The Self Centre,Psychology service,12-14 FALCON STREET,CROWS NEST,NSW,AUS,2065,-33.8276579,151.20212476,
Bicheno General Practice,General practice service,"Bicheno Community Resource Cen,94-96 Foster Street",BICHENO,TAS,AUS,7215,-41.87407302856445,148.2969207763672,
PharmacyMart Gregory Hills,Pharmacy service,"Unit 2,3 Rodeo Road",GREGORY HILLS,NSW,AUS,2557,-34.02455911,150.75947533,
Coorparoo Discount Pharmacy,Pharmacy service,414 Cavendish Road,COORPAROO,QLD,AUS,4151,-27.508726119995117,153.0642547607422,
Oakleigh General Practice,General practice service,8-10 Johnson Street,OAKLEIGH,VIC,AUS,3166,-37.90069580078125,145.0877227783203,
 Solidus Health & Strength,Physiotherapy service,1535 CENTRE ROAD,CLAYTON,VIC,AUS,3168,-37.92974069,145.13502923,
Blooms The Chemist - Maitland,Pharmacy service,"Stockland Green Hills,Shop 105,1 Molly Morgan Drive",EAST MAITLAND,NSW,AUS,2323,-32.762569427490234,151.5916290283203,
Greater Geelong Speech Pathology,Speech and language therapy service,86 OLYMPIC AVENUE,NORLANE,VIC,AUS,3214,-38.08667287,144.34604773,
Coffs Harbour Super Clinic Pharmacy,Pharmacy service,51 Stadium Drive,COFFS HARBOUR,NSW,AUS,2450,-30.32397,153.09265,
Brendan O'Brien - Neurosurgeon,Neurosurgical service,378 VICTORIA PARADE,EAST MELBOURNE,VIC,AUS,3002,-37.80966138,144.98421468,
Clare Doctors Surgery,General practice service,187 Main North Road,CLARE,SA,AUS,5453,-33.836072,138.614688,
The Therapy Movement,Psychology service,"Kon-Tiki Business Centre,Level 2  Tower 1, Suite 202,55 Plaza Pde",MAROOCHYDORE,QLD,AUS,4558,-26.657832,153.084569,
Axis Health Psychology,Psychology service,24 ASCOT VALE ROAD,FLEMINGTON,VIC,AUS,3031,-37.78597795,144.92200458,
Kate Smith - Psychology,Psychology service,80 Evandale Street,FLOREAT,WA,AUS,6014,-31.94293975830078,115.79570770263672,
Seymour Street Medical and Dental Centre Ringwood,Physiotherapy service,11 Seymour Street,RINGWOOD,VIC,AUS,3134,-37.81559753417969,145.2262725830078,
Bounce Back Physiotherapy and Osetopathy,Physiotherapy service,38 Exchange Parade,NARELLAN,NSW,AUS,2567,-34.04167938232422,150.7490234375,
Welcome to Wellbeing - St Leonards,Nutrition service,"Level 4 Suite 3,66 Pacific Highway",ST LEONARDS,NSW,AUS,2065,-33.82441711425781,151.1920623779297,
Amcal North Balwyn Pharmacy,Pharmacy service,81 Doncaster Road,BALWYN NORTH,VIC,AUS,3104,-37.79252624511719,145.07156372070312,
GV Women's Physiotherapy,Physiotherapy service,100-104 Corio Street,SHEPPARTON,VIC,AUS,3630,-36.376708984375,145.404052734375,
"Ms Wendy Schulze, Physiotherapist",Physiotherapy service,"Wendy Schulze Physiotherapy,85 Solomon Street",FREMANTLE,WA,AUS,6160,-32.06047821044922,115.75820922851562,
Jonathan England - Northern Beaches Rehabilitation,Psychology service,"Suite 2,54 Glen Street",BELROSE,NSW,AUS,2085,-33.738384666660195,151.2112003675661,
AFTER HOURS MEDICAL SERVICE - LAUNCESTON,General practice service,50A Frankland Street,LAUNCESTON,TAS,AUS,7250,-41.445457458496094,147.1418914794922,
Neutral Bay Medical Practice,General practice service,"Level 1,156 Military Road",NEUTRAL BAY,NSW,AUS,2089,-33.83061981201172,151.220947265625,
Salisbury Medical Clinic,General practice service,16 John Street,SALISBURY,SA,AUS,5108,-34.762474060058594,138.6438751220703,
Rose City Medical Centre,General practice service,"Rose City Shoppingworld,Shop MM2 (Entry within Priceline Pharmacy),81 Palmerin Street",WARWICK,QLD,AUS,4370,-28.215056,152.031653,
Menai Medical Centre,General practice service,2 Davidson Road,MENAI,NSW,AUS,2234,-34.00771713256836,151.0104217529297,
Theraspace Physiotherapy,Physiotherapy service,"Shop 10,78-92 Nepean Street",WATSONIA,VIC,AUS,3087,-37.711892,145.092985,
Hawthorn Speech Pathology,Speech and language therapy service,"Rathmines Clinic,211 RATHMINES ROAD",HAWTHORN EAST,VIC,AUS,3123,-37.82094362,145.0574435,
Lake Grace Community Pharmacy,Pharmacy service,27 Stubbs Street,LAKE GRACE,WA,AUS,6353,-33.10085387,118.45814603,
Bray Park Family Doctors,General practice service,"Kensington Shopping Village,Shop 16,8  Sovereign  Avenue",BRAY PARK,QLD,AUS,4500,-27.297826,152.9739231,
Chemist Warehouse Pennant Hills,Pharmacy service,108-110 Yarrara Road,PENNANT HILLS,NSW,AUS,2120,-33.7386589050293,151.07110595703125,
Communication Therapy - Salamander Bay,Speech and language therapy service,"Shop 8,5 Town Centre Circuit",SALAMANDER BAY,NSW,AUS,2317,-32.7365837097168,152.108642578125,
"Bendigo Health - Community Mental Health Services, Castlemaine",Psychology service,"Castlemaine Hlth Hospital,142 Cornish Street",CASTLEMAINE,VIC,AUS,3450,-37.05210494995117,144.2122802734375,
Back In Motion Preston,Physiotherapy service,489 High Street,PRESTON,VIC,AUS,3072,-37.7399362,145.0107588,
Chemist Warehouse Tingalpa,Pharmacy service,"SHOP 1-5,1795 Wynnum Road",TINGALPA,QLD,AUS,4173,-27.46643133,153.14141752,
Campbelltown Hospital Team Around The Child,Speech and language therapy service,1 Therry Road,CAMPBELLTOWN,NSW,AUS,2560,-34.07839584350586,150.80438232421875,
Phoenix Physiotherapy,Physiotherapy service,2 Avenue Road,STIRLING,SA,AUS,5152,-35.003536224365234,138.71554565429688,
Belridge Centre Pharmacy,Pharmacy service,"Belridge Shopping Centre,Shop 10-11,269 Eddystone Avenue",BELDON,WA,AUS,6027,-31.769723892211914,115.76676177978516,
Prahran East Medical Centre,General practice service,400 High Street,WINDSOR,VIC,AUS,3181,-37.852943420410156,145.0017852783203,
Priceline Pharmacy - Murray Bridge,Pharmacy service,"Murray Bridge Market Place,Shop T5,23-51 South Terrace",MURRAY BRIDGE,SA,AUS,5253,-35.119083404541016,139.2779541015625,
Village Therapy,Speech and language therapy service,36 Gap Road,SUNBURY,VIC,AUS,3429,-37.58003616333008,144.72415161132812,
Blessed Health Care,Psychology service,34 Anglo Road,CAMPSIE,NSW,AUS,2194,-33.91222381591797,151.10194396972656,
Good Nutrition For Life,Dietetics service,"Sunstate Family Practice ,Lakeside Shopping Centre H16B,21-25 Bunker Road",VICTORIA POINT,QLD,AUS,4165,-27.58548045405005,153.27914991534075,
Ulladulla Family Practice,General practice service,98 St Vincent Street,ULLADULLA,NSW,AUS,2539,-35.35903549194336,150.4717559814453,
TerryWhite Chemmart Belmont Forum,Pharmacy service,"Belmont Forum Shopping Centre,Shop 155,227 Belmont Avenue",BELMONT,WA,AUS,6104,-31.96540641784668,115.9352035522461,
Lotus Family Clinic,Dietetics service,10 SMYTHES ROAD,DELACOMBE,VIC,AUS,3356,-37.58720754,143.82417306,
Milang Pharmacy,Pharmacy service,"SHOP 5,10-17 Daranda Terrace",MILANG,SA,AUS,5256,-35.40757943,138.97219863,
EM Medical,General practice service,61 AUBURN STREET,NORTH WOLLONGONG,NSW,AUS,2500,-34.4320514,150.88874794,
Phoenix Medical Practice,General practice service,16 Marco Avenue,REVESBY,NSW,AUS,2212,-33.95161056518555,151.01669311523438,
Wisdom in Your Life,Psychology service,9 Hopevale Place,ERSKINE,WA,AUS,6210,-32.5637321472168,115.68570709228516,
CBT Professionals Mt Gravatt,Psychology service,"SUITE 105,1808 LOGAN ROAD",UPPER MOUNT GRAVATT,QLD,AUS,4122,-27.5508309,153.08005834,
The Jane Stephens Physiotherapy Centre,Physiotherapy service,120 Bentinck Street,BATHURST,NSW,AUS,2795,-33.42267990112305,149.57876586914062,
Pitt Street Merrylands Medical Centre,General practice service,184-186 Pitt Street,MERRYLANDS,NSW,AUS,2160,-33.83313751220703,150.99240112304688,
Bankstown Health,Psychology service,"SUITE 101,17 KITCHENER PARADE",BANKSTOWN,NSW,AUS,2200,-33.91581694,151.03313665,
Victoria Point Physiotherapy - Victoria Point,Physiotherapy service,"Lakeside Shopping Centre,Suite F12,11-13 Bunker Road",VICTORIA POINT,QLD,AUS,4165,-27.5851295907985,153.280543542227,
Clare Perry Occupational Therapy Services,Occupational therapy service,38 Erin Street,PRESTON,VIC,AUS,3072,-37.74633026123047,144.9925079345703,
"Sally Pearson, Psychologist",Psychology service,"Suite 7,158 Egan Street",KALGOORLIE,WA,AUS,6430,-30.748999579729976,121.4723366909194,
Northbridge Medical Centre,General practice service,"Shop 2,154 Newcastle Street",PERTH,WA,AUS,6000,-31.947017669677734,115.86365509033203,
Reminded Mind Health Clinic,Psychology service,1 LANYANA WAY,NOOSA HEADS,QLD,AUS,4567,-26.39952093,153.09125547,
Castlereagh Street Medical Centre,General practice service,67 Memorial Avenue,LIVERPOOL,NSW,AUS,2170,-33.9242057800293,150.919921875,
